id|pid|code|name_np|name_en|short_np|short_en|color|symbol|created_at|updated_at
1|0|O|अन्य|Other|अन्य|Other|#123456||2022-09-14 19:54:19|2022-09-14 19:54:19
2|1|CPNUML|नेपाल कम्युनिष्ट पार्टी (एमाले)|Communist Party of Nepal (Unified Marxist–Leninist)|एमाले|CPN UML|#990000||2022-09-14 19:54:19|2022-09-14 19:54:19
3|2|NC|नेपाली काँग्रेस|Nepali Congress|काँग्रेस|Congress|#005500||2022-09-14 19:54:19|2022-09-14 19:54:19
4|3|CPNMC|नेपाल कमयुनिस्ट पार्टी (माओवादी-केन्द्र)|Communist Party of Nepal (Maoist Centre)|माओवादी-केन्द्र|Maoist|#770000||2022-09-14 19:54:19|2022-09-14 19:54:19
5|4|CPNUS|नेपाल कम्युनिस्ट पार्टी (एकीकृत समाजवादी)|Communist Party of Nepal (Unified Socialist)|एकीकृत समाजवादी|Unified Socialist|#330000||2022-09-14 19:54:19|2022-09-14 19:54:19
6|5|PSPN|जनता समाजवादी पार्टी, नेपाल|People's Socialist Party, Nepal|जसपा|JaSaPa|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
7|6|DSPN|लोकतान्त्रिक समाजवादी पार्टी|Democratic Socialist Party, Nepal|लोसपा|LoSaPa|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
8|7|SPN|नेपाल समाजवादी पार्टी|Socialist Party of Nepal |नेपाल समाजवादी पार्टी|Socialist Party of Nepal |#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
9|8|NDP|राष्ट्रिय प्रजातन्त्र पार्टी|National Democratic Party|राष्ट्रिय प्रजातन्त्र पार्टी|National Democratic Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
10|9|NWPP|नेपाल मजदुर किसान पार्टी|Nepal Workers Peasants Party|नेपाल मजदुर किसान पार्टी|Nepal Workers Peasants Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
11|10|NPF|राष्ट्रिय जनमोर्चा|National People's Front|राष्ट्रिय जनमोर्चा|National People's Front|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
12|11|PPP|जनता प्रगतिशील पार्टी|People's Progressive Party|जनता प्रगतिशील पार्टी|People's Progressive Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
13|12|BSS|विवेकशील साझा पार्टी|Bibeksheel Sajha Party|विवेकशील साझा पार्टी|Bibeksheel Sajha Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
14|13|CPNML|नेकपा माले|Communist Party of Nepal (Marxist–Leninist) |नेकपा माले|Communist Party of Nepal (Marxist–Leninist) |#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
15|14|MNO|मंगोल नेशनल अर्गनाइजेसन|Mongol National Organisation|मंगोल नेशनल अर्गनाइजेसन|Mongol National Organisation|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
16|15|KKCP|किरात खम्बुवान साझा पार्टी|Kirat Khumbuwan Common Party|किरात खम्बुवान साझा पार्टी|Kirat Khumbuwan Common Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
17|16|ADP|उन्‍नत लोकतन्त्र पार्टी|Advance Democratic Party|उन्‍नत लोकतन्त्र पार्टी|Advance Democratic Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
18|17|ND|नेपाल लोकतान्त्रिक पार्टी|Nepal Democratic Party|नेपाल लोकतान्त्रिक पार्टी|Nepal Democratic Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
19|18|POP|जनमत पार्टी|Public Opinion Party|जनमत पार्टी|Public Opinion Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
20|19|NCP_UML|मौलिक जरोकिलो पार्टी|Maulik Jarokilo Party|मौलिक जरोकिलो पार्टी|Maulik Jarokilo Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
21|20|TDP|तामाङसालिङ लोकतान्त्रिक पार्टी|Tamangsaling Democratic Party|तामाङसालिङ लोकतान्त्रिक पार्टी|Tamangsaling Democratic Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
22|21|JPN|जनजागरण पार्टी नेपाल|Janajagaran Party Nepal|जनजागरण पार्टी नेपाल|Janajagaran Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
23|22|NCP|राष्ट्रिय नागरिक पार्टी|National Citizen Party|राष्ट्रिय नागरिक पार्टी|National Citizen Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
24|23|NEPANP|नेपाः राष्ट्रिय पार्टी|NEPA: National Party|नेपाः राष्ट्रिय पार्टी|NEPA: National Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
25|24|CPNN|नेकपा राष्ट्रवादी|CPN Nationalist|नेकपा राष्ट्रवादी|CPN Nationalist|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
26|25|NRPN|राष्ट्रिय यथार्थवादी पार्टी, नेपाल|National Realist Party, Nepal|राष्ट्रिय यथार्थवादी पार्टी, नेपाल|National Realist Party, Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
27|26|NPP|नेश्नलिष्ट पिपल्स पार्टी|Nationalist Peoples Party|नेश्नलिष्ट पिपल्स पार्टी|Nationalist Peoples Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
28|27|DPN|प्रजातान्त्रिक पार्टी नेपाल|Democratic Party Nepal|प्रजातान्त्रिक पार्टी नेपाल|Democratic Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
29|28|SCN|समाजवादी केन्द्र नेपाल|Socialist Center Nepal|समाजवादी केन्द्र नेपाल|Socialist Center Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
30|29|CPNC|नेपाल कम्युनिष्ट पार्टी परिवर्तन|Communist Party of Nepal Change|नेपाल कम्युनिष्ट पार्टी परिवर्तन|Communist Party of Nepal Change|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
31|30|NDP2|नेपाल दलित पार्टी|Nepal Dalit Party|नेपाल दलित पार्टी|Nepal Dalit Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
32|31|CPN|साझा पार्टी नेपाल|Common Party Nepal|साझा पार्टी नेपाल|Common Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
33|32|NIP|नेपाल समावेशी पार्टी|Nepal Inclusive Party|नेपाल समावेशी पार्टी|Nepal Inclusive Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
34|33|NJD|नेपाली जनता दल|Nepali Janata Dal|नेपाली जनता दल|Nepali Janata Dal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
35|34|APMPN|आमूल परिवर्तन मसिहा पार्टी नेपाल|Amul Paribartan Masiha Party Nepal|आमूल परिवर्तन मसिहा पार्टी नेपाल|Amul Paribartan Masiha Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
36|35|NFF|नेपाल परिवार दल|Nepal Family Party|नेपाल परिवार दल|Nepal Family Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
37|36|CPNM|नेकपा मार्क्सवादी (पुष्पलाल)|CPN Marxist (Pushpalal)|नेकपा मार्क्सवादी (पुष्पलाल)|CPN Marxist (Pushpalal)|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
38|37|KNFN|खम्बुवान राष्ट्रिय मोर्चा नेपाल|Khambuwan National Front Nepal|खम्बुवान राष्ट्रिय मोर्चा नेपाल|Khambuwan National Front Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
39|38|NPN|नेपालका लागि नेपाली पार्टी|Nepali party for Nepal|नेपालका लागि नेपाली पार्टी|Nepali party for Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
40|39|JSPN|जनसमाजवादी पार्टी नेपाल|Jana Samajwadi Party Nepal|जनसमाजवादी पार्टी नेपाल|Jana Samajwadi Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
41|40|RPPN|राप्रपा नेपाल|RPP Nepal|राप्रपा नेपाल|RPP Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
42|41|NCBP|नेपाली कांग्रेस (बी.पी.)|Nepali Congress (BP)|नेपाली कांग्रेस (बी.पी.)|Nepali Congress (BP)|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
43|42|CLP|नागरिक उन्मुक्ति पार्टी|Citizen Liberation Party|नागरिक उन्मुक्ति पार्टी|Citizen Liberation Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
44|43|CPNS|नेकपा समाजवादी|CPN Samajwadi|नेकपा समाजवादी|CPN Samajwadi|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
45|44|PNDJP|पिछडावर्ग निषाद दलित जनजाति पार्टी|Pichhadabarga Nishad Dalit Janajati Party|पिछडावर्ग निषाद दलित जनजाति पार्टी|Pichhadabarga Nishad Dalit Janajati Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
46|45|NP|नेपाल जनता पार्टी|Nepal People's Party|नेपाल जनता पार्टी|Nepal People's Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
47|46|NSPN|राष्ट्रिय समाजवादी पार्टी नेपाल|National Socialist Party Nepal|राष्ट्रिय समाजवादी पार्टी नेपाल|National Socialist Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
48|47|NFSP|नेपाल संघीय समाजवादी पार्टी|Nepal Federal Socialist Party|नेपाल संघीय समाजवादी पार्टी|Nepal Federal Socialist Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
49|48|NPP2|नेपाल जनता पार्टी|Nepal People's Party|नेपाल जनता पार्टी|Nepal People's Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
50|49|CNP|सचेत नेपाली पार्टी|Conscious Nepali Party|सचेत नेपाली पार्टी|Conscious Nepali Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
51|50|JPPN|जनता प्रगतिशील पार्टी, नेपाल|Janata Pragatisheel Party, Nepal|जनता प्रगतिशील पार्टी, नेपाल|Janata Pragatisheel Party, Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
52|51|TMDP|तराइ-मधेश लोकतान्त्रिक पार्टी|Tarai-Madhesh Democratic Party|तराइ-मधेश लोकतान्त्रिक पार्टी|Tarai-Madhesh Democratic Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
53|52|NGP|राष्ट्रिय सद्भावना पार्टी|National Goodwill Party|राष्ट्रिय सद्भावना पार्टी|National Goodwill Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
54|53|SUP|सामाजिक एकता पार्टी|Social Unity Party|सामाजिक एकता पार्टी|Social Unity Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
55|54|HDJPN|इतिहासिक प्रजातान्त्रिक जनता पार्टी नेपाल|Historical Democratic Janata Party Nepal|इतिहासिक प्रजातान्त्रिक जनता पार्टी नेपाल|Historical Democratic Janata Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
56|55|BSPN|बहुजन समाज पार्टी नेपाल|Bahujan Samaj Party Nepal|बहुजन समाज पार्टी नेपाल|Bahujan Samaj Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
57|56|NGGP|नेपाल सुशासन पार्टी|Nepal Good Governance Party|नेपाल सुशासन पार्टी|Nepal Good Governance Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
58|57|MNSP|आधुनिक नेपाल समाजवादी पार्टी|Modern Nepal Samajwadi Party|आधुनिक नेपाल समाजवादी पार्टी|Modern Nepal Samajwadi Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
59|58|NPLP|राष्ट्रिय जनमुक्ति पार्टी|National People's Liberation Party|राष्ट्रिय जनमुक्ति पार्टी|National People's Liberation Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
60|59|NGP2|नेपाल सद्भावना पार्टी|Nepal Goodwill Party|नेपाल सद्भावना पार्टी|Nepal Goodwill Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
61|60|NLMN|राष्ट्रिय मुक्ति आन्दोलन नेपाल|National Liberation Movement Nepal|राष्ट्रिय मुक्ति आन्दोलन नेपाल|National Liberation Movement Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
62|61|BPP|बहुजन शक्ति पार्टी|Bahujan Power Party|बहुजन शक्ति पार्टी|Bahujan Power Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
63|62|BUPN|बहुजन एकता पार्टी नेपाल|Bahujan Unity Party Nepal|बहुजन एकता पार्टी नेपाल|Bahujan Unity Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
64|63|RJPN|राष्ट्रिय जनता पार्टी नेपाल|Rashtriya Janata Party Nepal|राष्ट्रिय जनता पार्टी नेपाल|Rashtriya Janata Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
65|64|PS|देशभक्त समाज|Patriotic Society|देशभक्त समाज|Patriotic Society|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
