id,code,vote
1,CPNUML,0
2,NC,0
3,CPNMC,0
4,CPNUS,0
5,PSPN,0
6,DSPN,0
7,SPN,0
8,NDP,0
9,NWPP,0
10,NPF,0
11,PPP,0
12,BSS,0
13,CPNML,0
14,MNO,0
15,KKCP,0
16,ADP,0
17,ND,0
18,POP,0
19,NCP_UML,0
20,TDP,0
21,JPN,0
22,NCP,0
23,NEPANP,0
24,CPNN,0
25,NRPN,0
26,NPP,0
27,DPN,0
28,SCN,0
29,CPNC,0
30,NDP2,0
31,CPN,0
32,NIP,0
33,NJD,0
34,APMPN,0
35,NFF,0
36,CPNM,0
37,KNFN,0
38,NPN,0
39,JSPN,0
40,RPPN,0
41,NCBP,0
42,CLP,0
43,CPNS,0
44,PNDJP,0
45,NP,0
46,NSPN,0
47,NFSP,0
48,NPP2,0
49,CNP,0
50,JPPN,0
51,TMDP,0
52,NGP,0
53,SUP,0
54,HDJPN,0
55,BSPN,0
56,NGGP,0
57,MNSP,0
58,NPLP,0
59,NGP2,0
60,NLMN,0
61,BPP,0
62,BUPN,0
63,RJPN,0
64,PS,0